dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
junyi,1,43,skt,valid+test,0.7054773821300431,0.8291353086612351,0.4239215168990061,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dygkt,valid+test,0.7076096199334206,0.8287093661947967,0.4279605891832506,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dgekt,valid+test,0.7116778845310896,0.8296364400109715,0.4207848739504212,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,gkt,valid+test,0.7049074247418854,0.8289085911610864,0.4251965734516051,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,gikt,valid+test,0.7137971111964081,0.8297199405905524,0.4199264976458418,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,skt,valid+test,0.7057534516728017,0.8291987332974865,0.4241658233357997,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,dygkt,valid+test,0.7075249250185881,0.8287093661947967,0.4281429245643123,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,dgekt,valid+test,0.7114928149764049,0.8296249315084259,0.4209725952689979,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,bkt,valid+test,0.7189472709140412,0.8282614661805104,0.4172567554361546,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,dkt,valid+test,0.7189472709140412,0.8266675903584343,0.4260838839122123,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,simplekt,valid+test,0.7189472709140412,0.8282614661805104,0.4172567554361546,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,akt,valid+test,0.7174931486168623,0.8271483414720983,0.4276837842387397,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,gkt,valid+test,0.7034017309471086,0.8266876375149291,0.4285458357469767,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,gikt,valid+test,0.7125983243305537,0.8274638938657858,0.4231720617521896,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,skt,valid+test,0.7035907391153937,0.8269231281633747,0.427501320888816,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,dygkt,valid+test,0.7059510690361953,0.8265706534751301,0.4315044997262132,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,dgekt,valid+test,0.7102285971295887,0.8274305242318736,0.4242407943703071,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,gkt,valid+test,0.7038717369290277,0.8267286199930799,0.4283907678204812,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,gikt,valid+test,0.712866144863735,0.8274638938657858,0.4230835311329327,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,skt,valid+test,0.7046806563025081,0.8269510419255827,0.4273460283721739,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,dygkt,valid+test,0.7064609310966639,0.8265706534751301,0.4313763845861627,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,dgekt,valid+test,0.7106331573018825,0.8274305242318736,0.4241309266307402,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,0,42,bkt,valid+test,0.6067091335142124,0.6935764813311937,0.6015282054078851,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,dkt,valid+test,0.6866238662945099,0.6929583292021186,0.5894910043859882,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,simplekt,valid+test,0.694996759107954,0.7035464795318201,0.5743643001933102,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,akt,valid+test,0.6824897918524232,0.6960613304837132,0.5867436874458763,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,gkt,valid+test,0.6024598906196776,0.6920476258674021,0.6053437205021889,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,gikt,valid+test,0.6903904100552962,0.6957430739420112,0.5818840043349247,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,skt,valid+test,0.6504982860831697,0.6922312354106918,0.5967724623147552,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,dygkt,valid+test,0.6372794457260538,0.6913841833843156,0.6025068747865795,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,dgekt,valid+test,0.6866285707870347,0.694773615553442,0.5840074442755849,816951,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,0,42,gkt,valid+test,0.6024575545224908,0.6920476258674021,0.6051835982212636,816951,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,0,42,gikt,valid+test,0.6902308390104096,0.6959279075489228,0.5818048688436694,816951,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,0,42,skt,valid+test,0.6497948030863494,0.6923034551643856,0.5966190507157803,816951,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,0,42,dygkt,valid+test,0.6366882725636016,0.6913841833843156,0.6023797370853444,816951,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,0,42,dgekt,valid+test,0.6864317733635705,0.6950196523414501,0.5839065931085109,816951,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,1,43,bkt,valid+test,0.6097951548237375,0.699478506199789,0.596127215499613,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,dkt,valid+test,0.6906784197786107,0.6987545880174186,0.5844823223193539,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,simplekt,valid+test,0.6988555459426975,0.7090964534206994,0.5690549768425059,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,akt,valid+test,0.685551254069802,0.7019378446823623,0.5824272707391533,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,gkt,valid+test,0.6052667030858361,0.6979711697104699,0.6000141892862471,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,gikt,valid+test,0.6938931591932124,0.7019998239787981,0.5766149095264496,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,skt,valid+test,0.6527397927437885,0.6982996599815797,0.5914552285651102,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,dygkt,valid+test,0.6391338330133722,0.6973365017149671,0.5973295252968409,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,dgekt,valid+test,0.6900482776667032,0.7011680618206294,0.5787204147219212,806721,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,1,43,gkt,valid+test,0.6050109923468967,0.6979711697104699,0.600025390782629,806721,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,1,43,gikt,valid+test,0.6940692304509388,0.7019675947446515,0.5766061176261944,806721,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,1,43,skt,valid+test,0.6531293365756361,0.6982996599815797,0.5914571732945592,806721,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,1,43,dygkt,valid+test,0.6396177259523215,0.6973365017149671,0.5973406942090256,806721,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,1,43,dgekt,valid+test,0.6902777143409526,0.7010490615714726,0.5787117656367156,806721,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,2,44,bkt,valid+test,0.608947427128064,0.699925507317627,0.596136400036534,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,dkt,valid+test,0.6900053359746774,0.6991955538973897,0.5843361555042141,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,simplekt,valid+test,0.6981884973424339,0.7091977874300773,0.5690472177326396,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,akt,valid+test,0.6844450912669462,0.7021328365490797,0.5824027299942908,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,gkt,valid+test,0.6045047638418375,0.6986365468336867,0.5997608053815517,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,gikt,valid+test,0.6938703282718124,0.7020978986075983,0.5764508654358725,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,skt,valid+test,0.6535006916363971,0.6986427857518084,0.591211608496244,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,dygkt,valid+test,0.6399230976324202,0.69799019491628,0.5970712132612318,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,dgekt,valid+test,0.6901933796512301,0.701301812655271,0.5785326736260923,801421,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
assist2012,2,44,gkt,valid+test,0.6043103151708746,0.6986365468336867,0.599748874360983,801421,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,2,44,gikt,valid+test,0.6936205367009298,0.7021490577361961,0.5764329827540822,801421,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,2,44,skt,valid+test,0.653043128329114,0.6987251394710146,0.5911972664832243,801421,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,2,44,dygkt,valid+test,0.6395251610844752,0.69799019491628,0.5970483834636789,801421,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
assist2012,2,44,dgekt,valid+test,0.689887510588766,0.7014003875615937,0.5785146348109226,801421,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,bkt,valid+test,0.617875587446238,0.7943713465498949,0.4932640584971793,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,dkt,valid+test,0.7092531200151431,0.7936973435127208,0.4812086826890077,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,simplekt,valid+test,0.718366173593789,0.7957765596721517,0.46651350002637615,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,akt,valid+test,0.7076509818651014,0.7941055938091572,0.48088548246252105,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,gkt,valid+test,0.6080426191747188,0.7938502423498575,0.49713189330980934,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,gikt,valid+test,0.7098184136175476,0.7941279565642487,0.47375987812463055,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,skt,valid+test,0.6597458532565355,0.7938502423498575,0.4885065057827886,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,dygkt,valid+test,0.6457336740753357,0.7936609390276882,0.4940014057314583,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,dgekt,valid+test,0.7043693876891363,0.7941227559235298,0.4758682661822684,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,gkt,valid+test,0.6077513538952165,0.793852322606145,0.49718047630013606,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,gikt,valid+test,0.7100720612773805,0.7941279565642487,0.4738047555190825,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,skt,valid+test,0.6601092904956126,0.7938502423498575,0.4885655160582985,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,dygkt,valid+test,0.6458871636741363,0.7936682199246947,0.49405114049782417,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,dgekt,valid+test,0.7046878509867383,0.7941227559235298,0.4759211668698674,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,bkt,valid+test,0.6176589732531487,0.7953520154804542,0.4920207151141761,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,dkt,valid+test,0.709351794571918,0.7947503329535331,0.47987242503364247,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,simplekt,valid+test,0.7183791611893594,0.796857001852891,0.4652349175112536,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,akt,valid+test,0.7071634882961737,0.7952927312902476,0.47987863129275005,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,gkt,valid+test,0.6078943611801348,0.7948454996799174,0.4958524826069266,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,gikt,valid+test,0.7098622917567726,0.7952313669530162,0.4724683897550514,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,skt,valid+test,0.659825901804871,0.7948460197166736,0.4872152994187503,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,dygkt,valid+test,0.645826240726058,0.7946712873665911,0.4926813820008269,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,dgekt,valid+test,0.7044013443923681,0.7952225263281609,0.474577036301601,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,gkt,valid+test,0.6078005804665786,0.7948454996799174,0.4958863362518064,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,gikt,valid+test,0.7101541942053637,0.7952313669530162,0.47250222695457306,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,skt,valid+test,0.6603133048289128,0.7948465397534298,0.4872559201249152,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,dygkt,valid+test,0.6461205657342841,0.7946728474768596,0.49272129149456323,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,dgekt,valid+test,0.7047763068367124,0.7952298068427477,0.47461547502453144,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,bkt,valid+test,0.6174633730257527,0.7949488421457188,0.4925579610305867,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,dkt,valid+test,0.709495277992232,0.7943572472715551,0.48030729041876963,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,simplekt,valid+test,0.7185070509727098,0.7963559630524004,0.46563053239570285,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,akt,valid+test,0.7070697167308372,0.7949123882362192,0.48030949975360343,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,gkt,valid+test,0.6076638898564457,0.7944707751611393,0.49640145046519496,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,gikt,valid+test,0.7100606041248416,0.7948472919692559,0.47289103386919895,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,skt,valid+test,0.659868473506923,0.7944765036326321,0.48771884559880035,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,dygkt,valid+test,0.6457082445257878,0.7942812148317417,0.4931944198406907,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,dgekt,valid+test,0.7046128693474879,0.7948514581303415,0.4750127931364444,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,gkt,valid+test,0.6077408445375176,0.7944707751611393,0.49638091417935554,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,gikt,valid+test,0.7104598465076346,0.7948472919692559,0.4728828290352091,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,skt,valid+test,0.660588309572959,0.7944765036326321,0.4876969450091443,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,dygkt,valid+test,0.6462659353585472,0.7942812148317417,0.49319441157155913,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,dgekt,valid+test,0.7051325047930895,0.7948514581303415,0.4749998835223782,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
