dataset,fold,ecr_flag,ecr_overlap,eoc,tbvr
assist2012,0,0.0,1.0,1.4236827643965906,0.2023620329687451
assist2012,1,0.0,1.0,1.422920503203256,0.2005951314937525
assist2012,2,0.0,1.0,1.421381404217861,0.2009465602187117
junyi,0,0.0,0.99953531598513,1.449563835961827,0.1766208125296315
junyi,1,0.0,0.9995305164319248,1.449577538728316,0.1752980279225565
junyi,2,0.0,0.9995361781076066,1.449071248615655,0.1764382556380915
xes3g5m,0,0.0,0.9894459102902374,1.41838856562749,0.754290098385665
xes3g5m,1,0.0,0.988134475939354,1.4193572017585008,0.7570566431007912
xes3g5m,2,0.0,0.9868938401048493,1.4213204150330627,0.7569998049864377
